17.0.0.4 	 usdal4-bb-cr2.corp.apple.com.
17.0.0.5 	 usxqm1-bb-cr1.corp.apple.com.
17.0.0.3 	 usdal4-bb-cr1.corp.apple.com.
17.0.0.6 	 usxqm1-bb-cr2.corp.apple.com.
17.0.0.7 	 uschi5-bb-cr1.corp.apple.com.
17.0.0.1 	 usden5-bb-cr1.corp.apple.com.
17.0.0.11 	 usrno1-bb-cr1.corp.apple.com.
17.0.0.8 	 uschi5-bb-cr2.corp.apple.com.
17.0.0.2 	 usden5-bb-cr2.corp.apple.com.
17.0.0.10 	 ussea4-bb-cr2.corp.apple.com.
17.0.0.9 	 ussea4-bb-cr1.corp.apple.com.
17.0.0.16 	 usmsc2-bb-cr2.corp.apple.com.
17.0.0.17 	 usmsc2-bb-cr3.corp.apple.com.
17.0.0.13 	 usrno3-bb-cr1.corp.apple.com.
17.0.0.14 	 usrno3-bb-cr2.corp.apple.com.
17.0.0.15 	 usmsc2-bb-cr1.corp.apple.com.
17.0.0.21 	 uslax1-bb-cr1.corp.apple.com.
17.0.0.12 	 usrno1-bb-cr2.corp.apple.com.
17.0.0.18 	 usmsc2-bb-cr4.corp.apple.com.
17.0.0.19 	 usatl4-bb-cr1.corp.apple.com.
17.0.0.24 	 usscz2-bb-cr2.corp.apple.com.
17.0.0.27 	 usprz3-bb-cr1.corp.apple.com.
17.0.0.20 	 usatl4-bb-cr2.corp.apple.com.
17.0.0.26 	 usprz2-bb-cr2.corp.apple.com.
17.0.0.25 	 usprz2-bb-cr1.corp.apple.com.
17.0.0.23 	 usscz2-bb-cr1.corp.apple.com.
17.0.0.31 	 usnyc5-bb-cr1.corp.apple.com.
17.0.0.22 	 uslax1-bb-cr2.corp.apple.com.
17.0.0.30 	 usewr1-bb-cr2.corp.apple.com.
17.0.0.29 	 usewr1-bb-cr1.corp.apple.com.
17.0.0.36 	 usuqo4-bb-cr2.corp.apple.com.
17.0.0.28 	 usprz3-bb-cr2.corp.apple.com.
17.0.0.33 	 usuqo1-bb-cr1.corp.apple.com.
17.0.0.35 	 usuqo4-bb-cr1.corp.apple.com.
17.0.0.32 	 usnyc5-bb-cr2.corp.apple.com.
17.0.0.34 	 usuqo1-bb-cr2.corp.apple.com.
17.0.0.38 	 usnkq1-bb-cr2.corp.apple.com.
17.0.0.37 	 usnkq1-bb-cr1.corp.apple.com.
17.0.1.3 	 cntnj1-bbisp-gw1.corp.apple.com.
17.0.1.4 	 cntnj1-bbisp-gw2.corp.apple.com.
17.0.1.6 	 deber3-bbisp-gw2.corp.apple.com.
17.0.1.1 	 ausyd2-bbisp-gw1.corp.apple.com.
17.0.1.2 	 ausyd2-bbisp-gw2.corp.apple.com.
17.0.1.5 	 deber3-bbisp-gw1.corp.apple.com.
17.0.1.10 	 defra1-bbisp-gw2.corp.apple.com.
17.0.1.14 	 gbmnc1-bbisp-gw2.corp.apple.com.
17.0.1.12 	 defra3-bbisp-gw2.corp.apple.com.
17.0.1.8 	 dedus1-bbisp-gw2.corp.apple.com.
17.0.1.7 	 dedus1-bbisp-gw1.corp.apple.com.
17.0.1.11 	 defra3-bbisp-gw1.corp.apple.com.
17.0.1.13 	 gbmnc1-bbisp-gw1.corp.apple.com.
17.0.1.9 	 defra1-bbisp-gw1.corp.apple.com.
17.0.1.15 	 hkhkg1-bbisp-gw1.corp.apple.com.
17.0.1.21 	 inmaa1-bbisp-gw1.corp.apple.com.
17.0.1.22 	 inmaa1-bbisp-gw2.corp.apple.com.
17.0.1.18 	 hkhkg3-bbisp-gw2.corp.apple.com.
17.0.1.19 	 inbom2-bbisp-gw1.corp.apple.com.
17.0.1.17 	 hkhkg3-bbisp-gw1.corp.apple.com.
17.0.1.16 	 hkhkg1-bbisp-gw2.corp.apple.com.
17.0.1.23 	 jposa3-bbisp-gw1.corp.apple.com.
17.0.1.26 	 jptyo5-bbisp-gw2.corp.apple.com.
17.0.1.27 	 jptyo7-bbisp-gw1.corp.apple.com.
17.0.1.20 	 inbom2-bbisp-gw2.corp.apple.com.
17.0.1.24 	 jposa3-bbisp-gw2.corp.apple.com.
17.0.1.30 	 nlams2-bbisp-gw2.corp.apple.com.
17.0.1.33 	 sgsin3-bbisp-gw1.corp.apple.com.
17.0.1.34 	 sgsin3-bbisp-gw2.corp.apple.com.
17.0.1.25 	 jptyo5-bbisp-gw1.corp.apple.com.
17.0.1.28 	 jptyo7-bbisp-gw2.corp.apple.com.
17.0.1.29 	 nlams2-bbisp-gw1.corp.apple.com.
17.0.1.36 	 uklon5-bbisp-gw2.corp.apple.com.
17.0.1.35 	 uklon5-bbisp-gw1.corp.apple.com.
17.0.1.31 	 sesto4-bbisp-gw1.corp.apple.com.
17.0.1.32 	 sesto4-bbisp-gw2.corp.apple.com.
17.0.1.40 	 usatl4-bbisp-gw2.corp.apple.com.
17.0.1.37 	 uklon6-bbisp-gw1.corp.apple.com.
17.0.1.38 	 uklon6-bbisp-gw2.corp.apple.com.
17.0.1.44 	 uschi5-bbisp-gw2.corp.apple.com.
17.0.1.39 	 usatl4-bbisp-gw1.corp.apple.com.
17.0.1.43 	 uschi5-bbisp-gw1.corp.apple.com.
17.0.1.42 	 usbos2-bbisp-gw2.corp.apple.com.
17.0.1.47 	 uschi6-bb-pe1.corp.apple.com.
17.0.1.41 	 usbos2-bbisp-gw1.corp.apple.com.
17.0.1.52 	 usdal4-bbisp-gw2.corp.apple.com.
17.0.1.51 	 usdal4-bbisp-gw1.corp.apple.com.
17.0.1.48 	 uschi6-bb-pe2.corp.apple.com.
17.0.1.55 	 usden5-bbisp-gw1.corp.apple.com.
17.0.1.57 	 usewr1-bbisp-gw1.corp.apple.com.
17.0.1.56 	 usden5-bbisp-gw2.corp.apple.com.
17.0.1.58 	 usewr1-bbisp-gw2.corp.apple.com.
17.0.1.59 	 ushou1-bbisp-gw1.corp.apple.com.
17.0.1.64 	 uslxa1-bbisp-gw2.corp.apple.com.
17.0.1.63 	 uslxa1-bbisp-gw1.corp.apple.com.
17.0.1.65 	 usmes1-bbisp-gw1.corp.apple.com.
17.0.1.60 	 ushou1-bbisp-gw2.corp.apple.com.
17.0.1.61 	 uslax1-bbisp-gw1.corp.apple.com.
17.0.1.66 	 usmes1-bbisp-gw2.corp.apple.com.
17.0.1.62 	 uslax1-bbisp-gw2.corp.apple.com.
17.0.1.67 	 usmia1-bbisp-gw1.corp.apple.com.
17.0.1.73 	 usqas2-bbisp-gw1.corp.apple.com.
17.0.1.75 	 usqas3-bb-pe1.corp.apple.com.
17.0.1.68 	 usmia1-bbisp-gw2.corp.apple.com.
17.0.1.70 	 usnyc3-bbisp-gw2.corp.apple.com.
17.0.1.76 	 usqas3-bb-pe2.corp.apple.com.
17.0.1.74 	 usqas2-bbisp-gw2.corp.apple.com.
17.0.1.72 	 usprz2-bb-pe2.corp.apple.com.
17.0.1.69 	 usnyc3-bbisp-gw1.corp.apple.com.
17.0.1.71 	 usprz2-bb-pe1.corp.apple.com.
17.0.1.79 	 usrno1-bb-pe1-new.corp.apple.com.
17.0.1.82 	 usscz2-bbisp-gw2.corp.apple.com.
17.0.1.80 	 usrno1-bb-pe2-new.corp.apple.com.
17.0.1.81 	 usscz2-bbisp-gw1.corp.apple.com.
17.0.1.83 	 ussea4-bbisp-gw1.corp.apple.com.
17.0.1.84 	 ussea4-bbisp-gw2.corp.apple.com.
17.0.1.90 	 ussjc2-bbisp-gw2.corp.apple.com.
17.0.1.92 	 usuqo4-bbisp-gw2.corp.apple.com.
17.0.1.93 	 uschi6-bb-pe3.corp.apple.com.
17.0.1.91 	 usuqo4-bbisp-gw1.corp.apple.com.
17.0.1.95 	 usqas3-bb-pe3.corp.apple.com.
17.0.1.94 	 uschi6-bb-pe4.corp.apple.com.
17.0.1.96 	 usqas3-bb-pe4.corp.apple.com.
17.0.1.103 	 usprz3-bb-pe1.corp.apple.com.
17.0.1.102 	 usuqo1-bb-pe2.corp.apple.com.
17.0.1.106 	 usrno3-bb-pe2.corp.apple.com.
17.0.1.101 	 usuqo1-bb-pe1.corp.apple.com.
17.0.1.107 	 usmsc2-bb-pe1.corp.apple.com.
17.0.1.108 	 usmsc2-bb-pe2.corp.apple.com.
17.0.1.105 	 usrno3-bb-pe1.corp.apple.com.
17.0.1.104 	 usprz3-bb-pe2.corp.apple.com.
17.0.1.112 	 sgsin8-bbisp-gw2.corp.apple.com.
17.0.1.109 	 usmsc2-bb-pe3.corp.apple.com.
17.0.1.111 	 sgsin8-bbisp-gw1.corp.apple.com.
17.0.1.110 	 usmsc2-bb-pe4.corp.apple.com.
17.0.1.113 	 iedub1-bbisp-gw1.corp.apple.com.
17.0.1.119 	 frcch1-bbisp-gw1.corp.apple.com.
17.0.1.116 	 dkcph4-bbisp-gw2.corp.apple.com.
17.0.1.115 	 dkcph4-bbisp-gw1.corp.apple.com.
17.0.1.114 	 iedub1-bbisp-gw2.corp.apple.com.
17.0.1.118 	 ieork1-bbisp-gw2.corp.apple.com.
17.0.1.117 	 ieork1-bbisp-gw1.corp.apple.com.
17.0.1.120 	 frcch1-bbisp-gw2.corp.apple.com.
17.1.164.6 	 te-0-0-3.core1.an.f.man-da.net.
17.1.253.69 	 retail-wifi-cert.apple.com.
17.3.5.2 	 ipswitch.online.apple.com.
17.4.35.12 	 aws-rdmuat-mdb03-us-west-2c.apple.com.
17.4.69.39 	 supportmetrics-usw2-stage.apple.com.
17.4.69.48 	 aws-brooklyn2-workflow-usw2-cx01.apple.com.
17.4.85.43 	 aws-brooklyn2-sales-usw2-cx01.apple.com.
17.4.85.59 	 supportmetrics-usw2-stage.apple.com.
17.4.101.37 	 supportmetrics-usw2-stage.apple.com.
17.4.101.61 	 aws-brooklyn2-scheduler-usw2-cx01.apple.com.
17.4.143.168 	 aws-rdmuat-mdb01-us-west-2a.apple.com.
17.4.159.177 	 aws-rdmuat-mdb02-us-west-2b.apple.com.
17.4.199.20 	 aws-brooklyn2-scheduler-use1-cx02.apple.com.
17.4.215.7 	 aws-brooklyn2-sales-use1-cx02.apple.com.
17.4.231.10 	 aws-brooklyn2-sales-use1-cx02.apple.com.
17.8.72.9 	 apay-partner-api-lt-mdn.apple.com.
17.8.72.8 	 apay-partner-api-qa-mdn.apple.com.
17.8.72.24 	 apay-partner-api-qa-rno.apple.com.
17.8.72.25 	 apay-partner-api-lt-rno.apple.com.
17.8.128.25 	 apse2-shield-ohttp-prod.apple.com.
17.8.128.55 	 apse2-aws-release-validation-prod.apple.com.
17.8.128.93 	 apse2-shield-ohttp-prod.apple.com.
